Covidence #,Study ID,Title,Reviewer Name,Original title,Language,Year published,Journal,Keywords (please; separate; each; word; with; semicolon),First author,First author - country or countries based on institutional affiliation(s),"First author - discipline of primary affiliation/institution  (e.g., ""public health,"" ""engineering,"" ""physics,"" ""biology"")",Interdisciplinarity and intersectoral collaboration of authors,Funding source(s),"Country or countries of funding source(s) (e.g., United States; Chile) ",Funding source - type(s),Study setting,Urban and/or rural,Country or countries covered by study (region(s) where applicable),Study type,Study design / analytical approach,"Study type, design, approach - details (from text)","If longitudinal, time span covered:","If longitudinal, start year","If longitudinal, end year",Primary data source - health data,Data publicly available?,Primary data source(s) - climate exposure,Data publicly available? ,Link (if available),Last year of data collection and/or analysis  (indicate only one year),Date(s) of data collection and/or analysis (indicate available detail by data type or source) ,Climate change - exposure(s) ,Climate exposure(s) - detail from text,Health impact(s) - outcome(s),Health impact(s) - detail from text,Is there an explicit measurement/quantification/estimation of health impact(s)?,Measurement/quantification/estimation details - from text,Key findings - from text,Are there any confounders considered? ,Is there an explicit identification of vulnerable or most-affected population(s)?,Vulnerable or most-affected population(s) ,Vulnerable or most-affected population(s) - detail from text,Policy relevance/implications,Other/notes,Does the article evaluate the health impacts of climate change adaptation and/or mitigation action? ,Is there an explicit evaluation of health impacts of: ,Action(s) or intervention(s) evaluated - from text,Health impact(s) identified - from text,Measurement/quantification/estimation of health impact(s) - from text,Key findings - from text
2216,Xavier 2014,,Roxana Valdebenito,Extreme weather events and their consequences on health: the 2008 disaster in Santa Catarina taking into account different information sources,English,2014,Ambiente & sociedade,NA,"Xavier, D.",Brazil,public health,"All authors from same university, different disciplines (e.g., school of public health and atmospheric physics department at the same university)","This article is a contribution of the Brazilian Observatory of Climate and Health, funded by Rede Clima and CNPq, 
and Center for Study and Research of Health Emergencies and Disasters (Cepedes).",Brazil,None declared,Local (focus on one city or specific area) ,Both,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2209,Reátegui 2021,,Karla Rangel,"Epidemiological and clinical characteristics of dengue and zika infections during the El Niño Costero phenomenon in 2017 in Chincha, Peru",Spanish,2021,Revista de Investigaciones Veterinarias del Perú ,climate change; metaxenic; public health; zoonosis,"Reátegui, A",Peru,Epidemiology and Public Health in Veterinary Medicine,"Multiple institutions represented (e.g., more than one university)",Non declared,NA,None declared,Local (focus on one city or specific area) ,Neither or unclear,Peru,Observational study of health impacts of climate change related exposure,Other cross-sectional analysis,"An observational, descriptive and retrospective study was designed that systematized demographic information, clinical signs and time elapsed between the onset of these and the investigation, notification and confirmation of the cases.",Other: N/A,N/A,N/A,Vital statistics,Unclear,Other: Laboratory of Epidemiology and Public Health in Veterinary Medicine of the Faculty of Veterinary Medicine and Zootechnics of the Peruvian University Cayetano Heredia,Unclear,N/A,2017,2017,Other:  El Niño Costero phenomenon,"At the beginning of 2017, intense rains occurred in several regions of Peru, then mainly the coastal departments, a climatological event that was called the El Niño Costero Phenomenon",Infectious disease - dengue; Infectious disease - other,"The target population was made up of the medical records of patients with a definitive diagnosis from the viral isolation test for dengue or zika diseases (MINSA, 2017); regardless of gender and age, domiciled in the study area during the El Niño Costero Phenomenon and who were treated at the Pueblo Nuevo Health Center during the period from epidemiological week 8 to week 36 of 2017. A file was developed information registry considering the epidemiological variables and clinical manifestations of confirmed cases of dengue and zika.",Yes,"The association between age group demographics (<10, 10-14, 1519, 20-29, 30-39, 40-49, 50-59, and >60 years) and gender (male and female), and gender ( male and female), with the confirmed diagnosis was made using the Chi Square test.",No association was found between the distribution of age groups and the disease studied.,"The greatest number of cases were reported between epidemiological weeks 12 and 15 and in women (76.9% of Zika and 63.6% of dengue). The greatest number of Zika and dengue cases occurred in the age group of 20-29 years (30.0 and 27%, respectively). The most frequent clinical signs in both cases were exanthema, headache, myalgia, ocular/retrocular pain and arthralgia/polyarthralgia. The relationship between the temporal behaviour of the cases and the interventions carried out show that the nebulization application had a greater effect, reducing the number of confirmed cases after the application. It is concluded that early recognition and notification of the presence of dengue and zika, as well as the use of nebulization for vector control have a direct impact on the number of new cases of these diseases in a non-endemic area.",Yes,Sex (and/or gender),"The largest number of cases were reported in women, both for Zika (76.9%) and Dengue (63.6%). Although the study model carried out based on confirmed cases does not allow an association between sex and probability of infection to be determined, the results of other investigations in this regard are diverse. Thus, a study carried out by Aspilcueta et al. (2017) also found a higher number of Zika cases in women. In contrast, a study of risk factors associated with dengue infection in Anzoátegui, Venezuela, found no relationship between sex and the presentation of the disease (Rivera et al., 2011).","Nebulization was the most efficient measure to control the population of the A. aegypti vector, which was reflected in a decrease in the number of confirmed cases of Zika and dengue.",N/A,No,Other: N/A,N/A,N/A,N/A,N/A
2209,Reátegui 2021,,Consensus,"Epidemiological and clinical characteristics of dengue and zika infections during the El Niño Costero phenomenon in 2017 in Chincha, Peru",Spanish,2021,Revista de Investigaciones Veterinarias del Perú ,climate change; metaxenic; public health; zoonosis,"Reátegui, A",Peru,Epidemiology and Public Health in Veterinary Medicine,"Multiple institutions represented (e.g., more than one university)",Non declared,NA,None declared,Local (focus on one city or specific area) ,Neither or unclear,Peru,Observational study of health impacts of climate change related exposure,Other cross-sectional analysis,"An observational, descriptive and retrospective study was designed that systematized demographic information, clinical signs and time elapsed between the onset of these and the investigation, notification and confirmation of the cases.",Other: N/A,N/A,N/A,Vital statistics,Unclear,Other: Laboratory of Epidemiology and Public Health in Veterinary Medicine of the Faculty of Veterinary Medicine and Zootechnics of the Peruvian University Cayetano Heredia,Unclear,N/A,2017,2017,Other:  El Niño Costero phenomenon,"At the beginning of 2017, intense rains occurred in several regions of Peru, then mainly the coastal departments, a climatological event that was called the El Niño Costero Phenomenon",Infectious disease - dengue; Infectious disease - other,"The target population was made up of the medical records of patients with a definitive diagnosis from the viral isolation test for dengue or zika diseases (MINSA, 2017); regardless of gender and age, domiciled in the study area during the El Niño Costero Phenomenon and who were treated at the Pueblo Nuevo Health Center during the period from epidemiological week 8 to week 36 of 2017. A file was developed information registry considering the epidemiological variables and clinical manifestations of confirmed cases of dengue and zika.",Yes,"The association between age group demographics (<10, 10-14, 1519, 20-29, 30-39, 40-49, 50-59, and >60 years) and gender (male and female), and gender ( male and female), with the confirmed diagnosis was made using the Chi Square test.",No association was found between the distribution of age groups and the disease studied.,"The greatest number of cases were reported between epidemiological weeks 12 and 15 and in women (76.9% of Zika and 63.6% of dengue). The greatest number of Zika and dengue cases occurred in the age group of 20-29 years (30.0 and 27%, respectively). The most frequent clinical signs in both cases were exanthema, headache, myalgia, ocular/retrocular pain and arthralgia/polyarthralgia. The relationship between the temporal behaviour of the cases and the interventions carried out show that the nebulization application had a greater effect, reducing the number of confirmed cases after the application. It is concluded that early recognition and notification of the presence of dengue and zika, as well as the use of nebulization for vector control have a direct impact on the number of new cases of these diseases in a non-endemic area.",Yes,Sex (and/or gender),"The largest number of cases were reported in women, both for Zika (76.9%) and Dengue (63.6%). Although the study model carried out based on confirmed cases does not allow an association between sex and probability of infection to be determined, the results of other investigations in this regard are diverse. Thus, a study carried out by Aspilcueta et al. (2017) also found a higher number of Zika cases in women. In contrast, a study of risk factors associated with dengue infection in Anzoátegui, Venezuela, found no relationship between sex and the presentation of the disease (Rivera et al., 2011).","Nebulization was the most efficient measure to control the population of the A. aegypti vector, which was reflected in a decrease in the number of confirmed cases of Zika and dengue.",N/A,No,Other: N/A,N/A,N/A,N/A,N/A
2191,Cuartas 2017,,Vanderlei Matos,"TENDENCIA ESPACIAL Y TEMPORAL DE EVENTOS 
CLIMÁTICOS EXTREMOS EN EL VALLE GEOGRÁFICO  
DEL RÍO CAUCA",Spanish,2017,U.D.C.A Act. &  Div. Cient,Climate effects; temperature; rain; dengue; diarrhea,"Cuartas, D",Colombia,Geograph,"All authors from same university, different disciplines (e.g., school of public health and atmospheric physics department at the same university)",Este estudio fue financiado por International Development Research Centre – IDRC,Canada,Public / government agency,Local (focus on one city or specific area) ,Explicit urban focus ONLY ,Colombia,Observational study of health impacts of climate change related exposure,Health impact assessment (HIA) ; Modeling or other simulation,,">10, <20 years",1998,2013,Disease surveillance data,Unclear,"Local monitors (precipitation, temperature, air quality, other)",Unclear,,,,Climate change - general (shift in overall temperature or precipitation patterns); Extreme temperatures - heat,,Infectious disease - dengue,,,,,,,,,,,,,,,,
2191,Cuartas 2017,,Consensus,"TENDENCIA ESPACIAL Y TEMPORAL DE EVENTOS 
CLIMÁTICOS EXTREMOS EN EL VALLE GEOGRÁFICO  
DEL RÍO CAUCA",Spanish,2017,U.D.C.A Act. &  Div. Cient,Climate effects; temperature; rain; dengue; diarrhea,"Cuartas, D",Colombia,Geograph,"All authors from same university, different disciplines (e.g., school of public health and atmospheric physics department at the same university)",Este estudio fue financiado por International Development Research Centre – IDRC,Canada,Public / government agency,Local (focus on one city or specific area) ,Explicit urban focus ONLY ,Colombia,Observational study of health impacts of climate change related exposure,Health impact assessment (HIA) ; Modeling or other simulation,,">10, <20 years",1998,2013,Disease surveillance data,Unclear,"Local monitors (precipitation, temperature, air quality, other)",Unclear,,,,Climate change - general (shift in overall temperature or precipitation patterns); Extreme temperatures - heat,,Infectious disease - dengue,,,,,,,,,,,,,,,,
2161,CórdovaAguilar 2020,,Vanderlei Matos,"Vulnerabilidad y gestión del riesgo de desastres 
frente al cambio climático en Piura, Perú",Spanish,2020,Semetre económico,Vulnerabilidad; gestión de riesgos; cambio climático; Piura; resiliencia; gobernanza.,"Aguilar, H",Peru,Geograph,,,Peru,None declared,Local (focus on one city or specific area) ,,Peru,,Case study or studies,,,,,,Unclear,,Unclear,,,,,,,,,,,,,,,,,No,,,,,
2161,CórdovaAguilar 2020,,Consensus,"Vulnerabilidad y gestión del riesgo de desastres 
frente al cambio climático en Piura, Perú",Spanish,2020,Semetre económico,Vulnerabilidad; gestión de riesgos; cambio climático; Piura; resiliencia; gobernanza.,"Aguilar, H",Peru,Geograph,,,Peru,None declared,Local (focus on one city or specific area) ,,Peru,,Case study or studies,,,,,,Unclear,,Unclear,,,,,,,,,,,,,,,,,No,,,,,
2139,Souza 2021,,Amanda Silva Magalhães,Impact of Climate Change on Human Infectious Diseases: Dengue,English,2021,Brazilian Archives of Biology and Technology,dengue; climate; temporal distribution,"Souza, A.",Brazil,Physics,"Multiple institutions represented (e.g., more than one university); Multiple disciplines represented (e.g., school of engineering, school of public health, climate science research center)",N/A,N/A,None declared,Local (focus on one city or specific area) ,Neither or unclear,Brazil,Observational study of health impacts of climate change related exposure,Other longitudinal/time series analysis,"The research used an ecological time series and analytical study, with a quantitative and descriptive approach.",">5, <10 years",2008,2018,Vital statistics,Yes,"Local monitors (precipitation, temperature, air quality, other)",Unclear,Not found,2018,"The data were obtained from a seconDCy source and correspond to the number of dengue cases (DC) reported in the Reported Diseases Information System (SINAN) (codes ICD-10 A90-A91), between 2008 and 2018. 
Meteorological data between 2008 and 2018 were also obtained from the Water Resources Monitoring Center (CEMTEC-MS). ",Climate change - general (shift in overall temperature or precipitation patterns),"The meteorological data set was composed of monthly data on minimum, average and maximum temperature (Tmin, Tavg and Tmax), relative humidity (RU) and precipitation (Prec) of the Campo Grande city, Mato Grosso do Sul State.",Infectious disease - dengue,"The data were obtained from a seconDCy source and correspond to the number of dengue cases (DC) reported in the Reported Diseases Information System (SINAN) (codes ICD-10 A90-A91), between 2008 and 2018. The number of cases was paid in each month of each year, being, therefore, the object of study (number of dengue cases per month).",Yes,"Exploratory data analysis was performed using boxplots, time series decomposition and autocorrelation plots. The outcome variable was the number of dengue cases, and the independent variables were monthly average rainfall, monthly minimum and maximum temperatures. After exploratory analysis, cutoff points for average temperature were evaluated by generalized additive models [39].
The effect of climate variables on the number of reported cases was assessed using generalized linear models [45] with a logarithmic binding function for Poisson and negative binomial distribution.","The highest number of hospital admissions for dengue fever occurs between the months of January and April, influenced by the highest minimum temperatures and the highest total rainfall that start between the months of November and March.

Dengue transmission involves a number of factors, including the impact of climate, whose role is not yet fully understood. Clarifying the role of climate is critical because it facilitates epidemic risk analysis and aids preventive efforts. This study proposed a model to examine dengue time series, in which mean, maximum and minimum temperature, relative humidity and precipitation were statistically associated with the number of cases, while the minimum lagged one-month temperature proved to be the most important explanatory factor strong for the number of cases of dengue cases.",Not found,Unclear,N/A,N/A,N/A,N/A,No,Neither/unclear,N/A,N/A,N/A,N/A
2139,Souza 2021,,Consensus,Impact of Climate Change on Human Infectious Diseases: Dengue,English,2021,Brazilian Archives of Biology and Technology,dengue; climate; temporal distribution,"Souza, A.",Brazil,Physics,"Multiple institutions represented (e.g., more than one university); Multiple disciplines represented (e.g., school of engineering, school of public health, climate science research center)",N/A,N/A,None declared,Local (focus on one city or specific area) ,Neither or unclear,Brazil,Observational study of health impacts of climate change related exposure,Other longitudinal/time series analysis,"The research used an ecological time series and analytical study, with a quantitative and descriptive approach.",">5, <10 years",2008,2018,Vital statistics,Yes,"Local monitors (precipitation, temperature, air quality, other)",Unclear,Not found,2018,"The data were obtained from a seconDCy source and correspond to the number of dengue cases (DC) reported in the Reported Diseases Information System (SINAN) (codes ICD-10 A90-A91), between 2008 and 2018. 
Meteorological data between 2008 and 2018 were also obtained from the Water Resources Monitoring Center (CEMTEC-MS). ",Climate change - general (shift in overall temperature or precipitation patterns),"The meteorological data set was composed of monthly data on minimum, average and maximum temperature (Tmin, Tavg and Tmax), relative humidity (RU) and precipitation (Prec) of the Campo Grande city, Mato Grosso do Sul State.",Infectious disease - dengue,"The data were obtained from a seconDCy source and correspond to the number of dengue cases (DC) reported in the Reported Diseases Information System (SINAN) (codes ICD-10 A90-A91), between 2008 and 2018. The number of cases was paid in each month of each year, being, therefore, the object of study (number of dengue cases per month).",Yes,"Exploratory data analysis was performed using boxplots, time series decomposition and autocorrelation plots. The outcome variable was the number of dengue cases, and the independent variables were monthly average rainfall, monthly minimum and maximum temperatures. After exploratory analysis, cutoff points for average temperature were evaluated by generalized additive models [39].
The effect of climate variables on the number of reported cases was assessed using generalized linear models [45] with a logarithmic binding function for Poisson and negative binomial distribution.","The highest number of hospital admissions for dengue fever occurs between the months of January and April, influenced by the highest minimum temperatures and the highest total rainfall that start between the months of November and March.

Dengue transmission involves a number of factors, including the impact of climate, whose role is not yet fully understood. Clarifying the role of climate is critical because it facilitates epidemic risk analysis and aids preventive efforts. This study proposed a model to examine dengue time series, in which mean, maximum and minimum temperature, relative humidity and precipitation were statistically associated with the number of cases, while the minimum lagged one-month temperature proved to be the most important explanatory factor strong for the number of cases of dengue cases.",Not found,Unclear,N/A,N/A,N/A,N/A,No,Neither/unclear,N/A,N/A,N/A,N/A
2119,Montenegro 2020,,Martha Herrera,"Análisis de riesgos climáticos en el sistema
alimentario indígena de El Teribe, Panamá",Spanish,2020,Acta Nova,agricultura indígena; cambio climático; climatología; desarrollo rural; sostenibilidad,"Montenegro, E.",Panama,Ciencias Agropecuarias,"All authors from same university, different disciplines (e.g., school of public health and atmospheric physics department at the same university)",Not available,,,Local (focus on one city or specific area) ,Explicit rural focus ONLY ,Panama,Observational study of health impacts of climate change related exposure,Case study or studies,"Estudio de caso respecto a la vulnerabilidad alimentaria de las comunidades ante los efectos del  cambio climático, utilizando métodos hermenéuticos (interpretativos).
La investigación presenta un enfoque cualitativo, ya que se evalúan categorías 
cualitativas en los procesos de recolección, análisis e interpretación de la información.
Se escogieron de forma voluntaria a 40 familias indígenas de las comunidades San San Druy y San San Tigra dedicadas a la agricultura que conformarían la muestra.",,,,,,,,,,,,,,,,,"El valor del cambio de temperatura mensual varía entre 1.09°C y 2.49°C en diciembre, siendo el mayor mes de variación según el rango percentil 10-90th. La precipitación media anual muestra una variación en el periodo julio-septiembre que va desde (-137 mm a 38,86 mm) en comparación con el período de referencia (1986-2015).",,,,,,,,,,,,
